title, description, start_dt, end_dt, project_id, priority_id, user_id, status_id, created, modified, deleted
タスク1, プロジェクト1のタスク1です, 2009-10-6, 2009-10-8,1,1,1,1, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク2, プロジェクト2のタスク1です, 2009-10-6, 2009-10-8,2,1,1,1, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク3, プロジェクト3のタスク1です, 2009-10-6, 2009-10-8,3,1,1,1, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク4, プロジェクト4のタスク1です, 2009-10-6, 2009-10-8,4,1,1,1, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク5, プロジェクト5のタスク1です, 2009-10-6, 2009-10-8,5,1,1,1, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク6, プロジェクト6のタスク1です, 2009-10-6, 2009-10-8,6,1,1,1, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク7, プロジェクト7のタスク1です, 2009-10-6, 2009-10-8,7,1,1,1, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク8, プロジェクト8のタスク1です, 2009-10-6, 2009-10-8,8,1,1,1, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク9, プロジェクト9のタスク1です, 2009-10-6, 2009-10-8,9,1,1,1, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク10, プロジェクト10のタスク1です, 2009-10-6, 2009-10-8,10,1,1,1, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク11, プロジェクト1のタスク2です, 2009-10-1, 2009-10-18,1,2,1,2, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク12, プロジェクト2のタスク2です, 2009-10-1, 2009-10-18,2,2,1,2, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク13, プロジェクト3のタスク2です, 2009-10-1, 2009-10-18,3,2,1,2, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク14, プロジェクト4のタスク2です, 2009-10-1, 2009-10-18,4,2,1,2, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク15, プロジェクト5のタスク2です, 2009-10-1, 2009-10-18,5,2,1,2, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク16, プロジェクト6のタスク2です, 2009-10-1, 2009-10-18,6,2,1,2, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク17, プロジェクト7のタスク2です, 2009-10-1, 2009-10-18,7,2,1,2, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク18, プロジェクト8のタスク2です, 2009-10-1, 2009-10-18,8,2,1,2, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク19, プロジェクト9のタスク2です, 2009-10-1, 2009-10-18,9,2,1,2, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
タスク20, プロジェクト10のタスク2です, 2009-10-1, 2009-10-15,10,2,1,2, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>, <%= Time.now.strftime("%Y-%m-%d %H:%M:%S") %>,0
